customer_id,first_name,last_name,email,gender,birth_date,age_band,city,country,signup_date,acquisition_channel,is_loyalty_member
12347,Customer,12347,cust12347@anonymised.invalid,,,Unknown,Iceland,Iceland,2010-10-31,Online Export,1
12348,Customer,12348,cust12348@anonymised.invalid,,,Unknown,Finland,Finland,2010-09-27,Online Export,1
12349,Customer,12349,cust12349@anonymised.invalid,,,Unknown,Italy,Italy,2009-12-04,Online Export,1
12350,Customer,12350,cust12350@anonymised.invalid,,,Unknown,Norway,Norway,2011-02-02,Online Export,0
12351,Customer,12351,cust12351@anonymised.invalid,,,Unknown,Unspecified,Unspecified,2010-11-29,Online Export,0
12352,Customer,12352,cust12352@anonymised.invalid,,,Unknown,Norway,Norway,2010-11-12,Online Export,1
12353,Customer,12353,cust12353@anonymised.invalid,,,Unknown,Bahrain,Bahrain,2010-10-27,Online Export,0
12354,Customer,12354,cust12354@anonymised.invalid,,,Unknown,Spain,Spain,2011-04-21,Online Export,0
12355,Customer,12355,cust12355@anonymised.invalid,,,Unknown,Bahrain,Bahrain,2010-05-21,Online Export,0
12356,Customer,12356,cust12356@anonymised.invalid,,,Unknown,Portugal,Portugal,2010-10-11,Online Export,1
12357,Customer,12357,cust12357@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-11-16,Online Export,0
12358,Customer,12358,cust12358@anonymised.invalid,,,Unknown,Austria,Austria,2009-12-08,Online Export,1
12359,Customer,12359,cust12359@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2009-12-05,Online Export,1
12360,Customer,12360,cust12360@anonymised.invalid,,,Unknown,Austria,Austria,2010-02-22,Online Export,1
12361,Customer,12361,cust12361@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-01-26,Online Export,1
12362,Customer,12362,cust12362@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-02-17,Online Export,1
12363,Customer,12363,cust12363@anonymised.invalid,,,Unknown,Unspecified,Unspecified,2011-04-11,Online Export,0
12364,Customer,12364,cust12364@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-08-19,Online Export,1
12365,Customer,12365,cust12365@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2011-02-21,Online Export,0
12366,Customer,12366,cust12366@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2010-03-16,Online Export,0
12368,Customer,12368,cust12368@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2010-03-21,Online Export,0
12369,Customer,12369,cust12369@anonymised.invalid,,,Unknown,Austria,Austria,2010-03-08,Online Export,1
12370,Customer,12370,cust12370@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2010-02-09,Online Export,1
12371,Customer,12371,cust12371@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-03-04,Online Export,1
12372,Customer,12372,cust12372@anonymised.invalid,,,Unknown,Denmark,Denmark,2011-02-16,Online Export,1
12373,Customer,12373,cust12373@anonymised.invalid,,,Unknown,Austria,Austria,2010-02-04,Online Export,1
12374,Customer,12374,cust12374@anonymised.invalid,,,Unknown,Austria,Austria,2010-04-30,Online Export,1
12375,Customer,12375,cust12375@anonymised.invalid,,,Unknown,Finland,Finland,2011-09-02,Online Export,0
12376,Customer,12376,cust12376@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-10-18,Online Export,0
12377,Customer,12377,cust12377@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-04-29,Online Export,1
12378,Customer,12378,cust12378@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-05-26,Online Export,0
12379,Customer,12379,cust12379@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-06-23,Online Export,1
12380,Customer,12380,cust12380@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-02-15,Online Export,1
